Designator,Mid X,Mid Y,Layer,Rotation
C1,22.352,-58.0625,bottom,90
C2,36.068,-66.482,bottom,-90
C3,57.15,-66.614,bottom,-90
C4,78.486,-66.548,bottom,-90
D1,17.272,-58.166,bottom,90
Q1,74.0833,-81.788,bottom,0
Q2,69.596,-81.788,bottom,0
Q3,65.1087,-81.788,bottom,0
Q4,60.6213,-81.788,bottom,0
Q5,24.4929,-39.624,bottom,0
Q6,32.4757,-39.624,bottom,0
Q7,31.496,-78.74,bottom,0
Q8,26.924,-78.74,bottom,0
Q9,22.352,-78.74,bottom,0
Q10,17.526,-78.74,bottom,0
Q11,40.4586,-39.624,bottom,0
Q12,48.4414,-39.624,bottom,0
Q13,18.8745,-50.292,bottom,180
Q14,29.6035,-50.292,bottom,180
Q15,35.338,-50.292,bottom,180
Q16,46.067,-50.292,bottom,180
Q17,56.4243,-39.624,bottom,0
Q18,64.4072,-39.624,bottom,0
Q19,51.8015,-50.292,bottom,180
Q20,62.5305,-50.292,bottom,180
Q21,68.265,-50.292,bottom,180
Q22,78.994,-50.292,bottom,180
Q23,72.39,-39.624,bottom,0
Q24,80.3729,-39.624,bottom,0
R1,26.432,-85.09,bottom,0
R2,42.672,-86.233,bottom,90
R3,55.515,-81.026,bottom,0
RN1,67.31,-87.376,bottom,90
RN2,29.3915,-44.704,bottom,-90
RN3,76.054,-75.808,bottom,90
RN4,36.938,-78.624,bottom,90
RN5,44.6315,-44.704,bottom,-90
RN6,68.688,-75.808,bottom,90
RN7,24.239,-50.292,bottom,0
RN8,59.8715,-44.704,bottom,-90
RN9,40.7025,-50.292,bottom,0
RN10,57.166,-50.292,bottom,0
RN11,75.1115,-44.704,bottom,-90
RN12,73.6295,-50.292,bottom,0
U1,47.8536,-66.548,bottom,90
U3,26.416,-66.548,bottom,90
U4,69.2912,-66.548,bottom,90
